State, Potential_Capacity_MW,Potential_Generation_GWH_YR
AL,646,3435
AK,4530,39682.8
AZ,515,3090
AR,1108,5964
CA,3360,18570
CO,3802,22699
CT,141,807
DE,5,30
FL,171,962
GA,580,3341
HI,145,699
ID,4937,28645
IL,573,3092
IN,582,3132
IA,738,3876
KS,2479,14931
KY,662,3242
LA,789,4461
ME,1059,6146
MD,189,1036
MA,176,1012
MI,380,2407
MN,516,2870
MS,1112,6361
MO,2450,14145
MT,3914,23413
NE,1851,11332
NV,226,1208
NH,394,2339
NJ,61,359
NM,917,5113
NY,1809,10192
NC,796,4697
ND,252,1523
OH,491,2561
OK,1147,5837
OR,4492,25013
PA,2418,13140
RI,13,73
SC,284,1689
SD,112,633
TN,869,4908
TX,1367,6862
UT,678,4005
VT,400,2338
VA,1080,5963
WA,6055,35442
WV,1228,6444
WI,522,3287
WY,2476,13949